ID   Visits   Income   Sex   Age   Size
 1   0   11.38   1   3.87   2
 2   5    9.77   1   4.04   1
 3   0   11.08   0   3.33   2
 4   0   10.92   1   3.95   3
 5   0   10.92   1   2.83   3
 6   0   10.92   0   2.94   3
 7   0   11.19   0   3.66   2
 8   1   11.74   0   4.08   2
 9   0   10.02   0   4.25   1
10   0   10.92   0   3.85   3
11   1   10.77   0   3.93   2
12   0   10.92   0   3.99   2
13   3   10.53   0   3.64   2
14   0   10.92   0   3.61   1
15   0   10.22   1   3.58   3
16   1   10.77   1   3.26   3
17   2   12.21   0   3.66   2
18   0   10.77   0   3.95   2
19   6   11.19   1   3.33   2
20   0   10.39   1   3.58   2
21   2   10.77   1   3.33   4
22   0   11.19   1   3.47   2
23   0   11.19   1   3.43   2
24   2   11.74   1   3.81   2
25   0   11.38   0   4.28   2
26   0   10.39   0   4.22   2
27   0   10.66   1   3.50   4
28   0   12.07   0   3.95   2
29   0   10.92   1   3.81   3
30   0   10.92   0   3.53   3
31   0   11.19   1   3.37   2
32   0   10.22   1   3.14   4
33   0   11.38   0   3.33   4
34   0    9.08   1    3.40   1
35   0   10.02   1   3.53   1
36   0   11.08   0   4.06   4
37   2   10.22   1   3.69   2
38   2   12.07   1   3.69   2
39   1   11.08   0   4.17   1
40   0    9.53   1   2.71   3
41   0   11.08   1   3.81   3
42   0   11.38   1   4.13   3
43   0   11.38   0   4.17   3
44   0   10.53   1   3.56   6
45   0   10.77   0   3.22   1
46   0   11.38   1   3.37   2
47   0   11.74   0   3.04   4
48   0   10.77   0   3.53   1
49   0   10.39   1   2.83   3
50   0   10.39   1   2.64   3
51   0   11.08   0   3.74   5
52   6    9.77   0   3.30   1
53   16   9.77   0   3.14   1
54   1   10.22   1   3.47   1
55   0   11.38   1   3.56   2
56   0   11.74   0   3.93   4
57   0   10.39   1   3.74   2
58   1   11.19   1   3.50   2
59   0   10.22   0   3.61   4
60   0   10.92   0   3.89   1
61   0   10.92   1   3.47   3
62   0   10.39   1   3.37   2
63   0   10.39   0   3.47   2
64   0   10.77   1   3.78   2
65   0    9.77   1   3.71   2
66   0   10.02   1   3.18   2
67   0   11.38   0   4.01   2
68   0   11.08   0   3.83   2
69   1    9.77   0   3.43   2
70   2   11.12   0   3.33   6
71   0   10.31   1   3.58   6
72   0   10.22   1   3.56   5
73   0    9.77   1   3.66   4
74   1   11.19   1   3.56   4
75   0   10.53   0   3.50   2
76   3   10.22   1   3.71   6
77   0   10.66   1   2.89   2
78   0   12.07   1   3.09   7
79   0   12.07   0   3.74   2
80   0   11.08   1   3.53   1
81   0   10.22   0   3.30   2
82   1   10.66   1   4.04   1
83   0   10.92   0   3.37   2
84   0   10.53   1   4.04   3
85   0   10.39   1   3.58   3
86   0   11.38   1   3.43   1
87   0   10.92   1   3.87   2
88   0   11.74   1   3.97   6
89   0   11.74   1   3.00   6
90   1   11.38   1   3.43   2
91   0   10.53   0   3.64   1
92   0   11.08   0   3.93   3
93   4    9.90   1   3.56   4
94   0   11.74   0   3.47   2
95   0   10.22   1   3.53   2
96   0   11.74   0   4.04   4
97   0   11.08   0   3.58   4
98   0   11.38   0   3.09   4
99   0   10.77   1   2.71   2
100   9   10.77   1   3.50   4
101   0   10.22   1   3.18   3
102   0   10.22   1   3.14   3
103   1   11.74   1   3.40   2
104   0   11.38   0   4.29   4
105   0   10.02   1   3.43   1
106   0   10.22   1   3.43   1
107   0   10.92   1   3.58   4
108   0   10.77   1   3.58   3
109   5   11.74   1   3.78   4
110   0   11.74   1   2.83   3
111   0   10.92   1   3.83   2
112   3   11.74   0   3.81   3
113   1   10.92   1   3.37   3
114   0   10.02   1   3.47   3
115   0   10.66   1   3.74   2
116   0   10.53   1   3.85   3
117   0   10.92   1   3.64   5
118   1   11.38   1   2.56   2
119   0   11.38   0   3.76   2
120   0   10.53   1   3.37   2
121   1   11.38   1   3.56   2
122   0   10.77   0   3.40   1
123   0   11.08   1   3.56   2
124   0   10.39   1   3.50   1
125   0   10.02   1   3.61   2
126   0   10.02   1   2.64   4
127   0   11.38   1   3.33   2
128   0   10.92   0   3.83   5
129   0   11.38   1   3.47   4
130   0   10.92   0   3.95   4
131   0   11.19   1   2.83   1
132   0   11.19   0   4.34   1
133   0   11.38   1   3.37   2
134   0   11.38   0   3.64   2
135   0   11.08   1   3.40   3
136   8   11.19   1   3.40   4
137   2   11.08   0   4.17   2
138   0   10.66   0   4.20   2
139   0   11.19   0   4.17   1
140   0   10.02   1   4.17   2
141   1   10.66   1   3.58   3
142   2   10.92   1   3.47   8
143   0   10.66   0   3.61   1
144   6   11.08   0   4.06   2
145   0   11.38   1   3.47   4
146   1   11.74   1   3.83   2
147   0   10.22   0   4.19   2
148   0   11.19   0   3.89   1
149   0    9.53   1   3.81   1
150   0   11.08   0   4.04   2
151   0   10.77   1   3.71   2
152   0   11.08   0   4.20   2
153   0   10.31   0   3.43   6
154   0   10.82   1   3.37   7
155   0   10.82   1   2.83   7
156   0   10.82   1   3.56   4
157   0   11.08   0   3.26   2
158   0   11.08   1   3.93   2
159   0   10.53   1   3.18   2
160   0   10.92   0   3.22   2
161   0   10.53   1   3.33   1
162   16   11.19   1   4.09   2
163   0   11.08   0   3.74   1
164   0   11.19   1   3.26   4
165   0   10.92   1   3.22   3
166   0   10.53   0   3.37   3
167   0   11.74   1   3.74   2
168   0   10.92   1   3.37   3
169   1   10.39   1   3.95   3
170   0   10.92   1   3.40   2
171   1   10.02   0   3.09   4
172   0   11.38   0   3.53   2
173   0   11.08   1   3.53   2
174   0   10.53   1   3.97   2
175   0   10.22   0   2.56   4
176   0   10.53   1   3.66   3
177   1   11.74   0   3.58   2
178   0   11.74   0   3.47   2
179   0   10.66   0   3.56   1
180   0    9.08   0   3.22   1
181   0   10.92   1   3.37   2
182   0   10.92   0   3.78   2
183   1   11.08   1   3.64   1
184   0   11.74   1   3.33   6
185   0   11.74   1   3.58   6
186   0   10.92   1   3.47   3
187   0   11.92   0   3.33   3
188   0   10.53   0   3.37   1
189   0   10.02   1   3.14   3
190   0   11.38   0   3.58   4
191   0   10.22   0   3.95   3
192   0    9.77   0   3.09   1
193   9   10.92   0   3.30   4
194   0   10.82   1   3.56   5
195   0   10.31   1   3.74   4
196   0   8.92   1   3.71   6
197   0   10.77   0   3.58   4
198   0   10.92   1   3.53   3
199   0   11.19   0   3.09   2
200   4   10.66   1   3.76   4
201   0   10.66   0   3.78   4
202   0   10.22   1   3.53   1
203   6   11.38   1   3.74   4
204   2   11.38   0   2.71   4
205   1   11.38   0   3.89   4
206   0   10.22   1   3.50   1
207   1   10.66   1   3.56   4
208   1   10.66   0   2.08   4
209   0   10.92   1   3.37   2
210   0   10.39   0   3.58   4
211   0   10.92   1   3.33   2
212   0    9.77   1   3.26   1
213   0   10.53   0   2.56   4
214   0   11.74   1   3.78   2
215   0   10.39   1   3.56   3
216   0   11.08   1   3.40   5
217   0   11.08   0   2.64   5
218   0   10.77   0   3.58   2
219   62   11.19   0   3.66   1
220   0   11.38   1   4.09   2
221   0   10.39   0   3.40   2
222   2   10.66   0   3.37   2
223   0   10.53   1   3.58   3
224   0   11.74   1   3.61   4
225   0   10.92   1   4.04   1
226   0   11.38   1   3.53   2
227   0   10.92   1   3.43   5
228   3   11.08   1   3.37   4
229   0   10.66   1   3.37   2
230   0   10.92   1   3.47   4
231   0   11.19   1   3.26   2
232   0   10.39   0   3.26   1
233   0   10.02   1   3.50   5
234   0   10.92   1   3.47   2
235   0   10.92   0   3.33   2
236   0   12.07   0   3.85   4
237   0   11.19   1   3.37   1
238   3   10.53   0   3.78   3
239   0   10.39   0   4.13   1
240   2   10.77   1   3.69   4
241   0   10.39   1   3.53   3
242   0   10.66   1   3.97   4
243   0   10.66   1   3.40   4
244   2   11.19   0   3.64   3
245   2   12.07   1   3.89   3
246   3   10.02   1   3.76   5
247   0   10.92   1   2.71   2
248   3   10.02   1   3.14   2
249   0   10.39   1   3.43   2
250   0   10.02   0   3.87   3
251   0   10.77   1   4.13   2
252   1   11.38   0   3.71   2
253   0   10.92   1   3.89   2
254   0   10.02   1   3.22   1
255   0   11.74   1   3.78   5
256   12   10.66   0   3.40   4
257   0   10.53   1   3.61   4
258   0   10.02   0   3.69   8
259   6   10.92   0   3.40   2
260   0   10.39   1   3.83   2
261   0   10.22   0   3.14   2
262   0   10.66   1   3.53   4
263   2    9.33   1   3.04   1
264   0   10.39   0   4.16   3
265   0   10.77   0   3.22   2
266   1   11.19   0   2.77   3
267   16   10.53   0   3.37   2
268   0   10.39   0   3.76   2
269   1   11.08   0   3.76   1
270   0   11.19   1   3.43   3
271   1   10.02   0   3.97   1
272   1   10.02   1   3.85   4
273   0   11.74   0   4.11   3
274   0   11.74   0   3.30   4
275   0   10.77   1   3.97   3
276   1   10.39   1   3.18   3
277   0   11.74   1   3.47   2
278   0   11.74   0   3.56   2
279   0   10.53   0   3.78   5
280   0   11.38   1   3.61   2
281   0   10.39   1   3.43   1
282   0   10.53   1   3.30   4
283   21   10.92   1   3.81   1
284   0   10.22   1   3.40   2
285   0   11.08   1   3.33   2
286   0   12.21   1   3.85   2
287   0   10.92   1   3.56   3
288   0   11.38   0   3.69   1
289   0   11.08   1   3.71   2
290   0   11.74   0   3.87   3
291   0   10.53   1   3.74   2
292   1   10.92   0   3.97   1
293   0   11.08   0   3.40   3
294   0    8.92   0   3.09   1
295   2   10.39   1   3.14   3
296   0    9.08   0   3.04   1
297   0    9.33   0   3.09   2
298   0   10.92   0   3.89   1
299   0   10.22   0   3.78   3
300   0   10.39   0   3.37   5
301   0   10.22   1   3.83   1
302   0   11.38   1   3.22   3
303   0   10.39   0   3.22   3
304   0   10.92   1   3.43   2
305   3   10.77   0   3.99   1
306   0   10.92   1   3.78   5
307   0   12.07   1   3.37   5
308   3   11.38   1   4.28   2
309   1   11.38   0   4.30   2
310   0    9.77   0   3.53   3
311   3   11.08   1   3.50   4
312   0   11.08   0   3.93   4
313   0   10.92   1   3.37   2
314   0   10.66   1   3.26   2
315   0   11.08   1   3.53   4
316   0   10.92   0   4.19   2
317   0   10.22   0   3.30   1
318   2   10.92   0   4.04   5
319   0   11.38   1   3.95   2
320   3   10.92   1   3.64   2
321   1   11.38   1   4.16   2
322   28   11.74   0   3.74   2
323   0   10.92   0   3.71   1
324   0   11.19   1   3.66   3
325   1   11.08   0   3.78   1
326   0   10.39   0   3.56   1
327   0   10.77   1   3.64   3
328   1   10.77   1   2.48   3
329   1   10.77   0   3.99   3
330   0   10.92   1   3.18   3
331   1   10.22   1   3.95   1
332   0   10.92   1   3.43   2
333   0   11.38   1   3.40   2
334   2   11.38   1   3.74   2
335   1   10.53   0   3.83   1
336   0   10.92   1   3.56   1
337   0   11.19   0   3.85   3
338   0   10.66   1   3.91   2
339   0   10.92   1   2.64   3
340   0   11.19   0   3.81   3
341   0   10.92   1   3.61   2
342   1   11.74   1   3.50   2
343   0   11.08   1   4.03   1
344   0   11.74   0   4.13   2
345   0   11.19   1   3.76   2
346   1   11.19   1   2.71   3
347   0   11.38   1   2.77   4
348   0   11.38   1   2.48   4
349   0   11.38   0   4.32   2
350   0   10.92   1   3.97   2
351   0   11.08   1   4.06   3
352   0   11.19   0   3.91   3
353   4   10.39   1   3.50   2
354   0   10.92   0   3.64   2
355   15   11.08   1   3.81   4
356   12   11.08   0   3.78   4
357   0   10.92   0   3.97   3
358   4   10.77   0   3.56   6
359   0   11.74   0   3.87   5
360   1   11.74   0   4.23   2
361   0   10.92   1   3.76   1
362   0   11.19   0   3.99   4
363   0   10.53   1   2.71   5
364   0   10.53   0   3.64   5
365   0   10.22   1   3.26   2
366   0   11.74   1   3.83   3
367   1   10.66   1   3.61   4
368   2   11.08   1   3.99   2
369   2   10.77   1   3.66   3
370   0   10.77   1   3.74   4
371   0   11.38   0   3.99   3
372   0   11.38   1   3.69   5
373   0   10.92   1   3.64   2
374   25   10.22   1   3.71   4
375   0   10.92   1   3.83   3
376   0   11.38   0   3.97   2
377   0   12.07   1   3.87   2
378   1   10.92   1   4.09   2
379   0   11.38   1   3.61   2
380   0   11.38   0   3.91   2
381   0   11.08   1   3.74   3
382   0   11.08   0   3.89   3
383   3   10.53   1   3.89   2
384   0   11.38   1   3.81   6
385   0   11.38   0   3.91   6
386   1   11.38   0   2.64   6
387   1   11.38   0   2.48   6
388   0   11.74   0   3.74   4
389   0   11.19   1   3.71   2
390   0   10.02   1   4.37   2
391   0   11.19   1   3.83   3
392   0   11.38   1   3.50   4
393   0   11.38   0   3.37   4
394   0   10.92   1   4.01   3
395   0   10.66   1   3.66   3
396   1   10.66   0   3.58   3
397   0   11.38   1   3.99   2
398   0   10.92   1   3.58   4
399   2   10.92   0   3.61   4
400   0   10.66   1   3.58   6
401   0   10.39   1   3.76   4
402   5   11.19   1   4.13   1
403   0   10.53   1   3.56   3
404   0   10.53   0   2.64   3
405   4   10.66   1   3.40   3
406   0   11.19   0   3.83   5
407   0   10.53   1   3.97   2
408   1   10.22   1   4.09   2
409   0   10.39   1   3.61   2
410   0   10.92   1   3.64   4
411   0   11.74   1   3.64   4
412   0   11.74   0   2.83   4
413   0   11.74   0   2.56   4
414   0   11.08   1   3.87   3
415   0   10.02   1   3.61   5
416   0   11.38   1   3.83   3
417   0   10.92   1   3.58   2
418   0   11.08   0   3.81   4
419   0   11.38   1   3.87   2
420   1   10.39   1   3.97   1
421   0   10.53   1   3.22   2
422   0   10.66   0   3.61   4
423   3   11.38   1   3.61   4
424   0   10.92   1   3.71   3
425   0   11.74   0   3.74   4
426   1   11.19   1   3.61   2
427   1   10.77   1   3.47   3
428   5   11.08   0   4.09   1
429   2   10.92   0   4.19   2
430   0   11.38   1   3.83   4
431   0   11.74   1   4.01   1
432   0   11.74   1   3.04   1
433   1   10.53   1   3.56   1
434   5   10.77   0   3.85   2
435   0   10.66   0   3.78   1
436   0   10.22   0   2.71   3
437   0    9.53   1   2.71   4
438   18  10.92   1   3.43   4
439   4   10.92   0   3.58   4
440   1   11.19   1   4.04   2
441   0   11.08   1   4.03   5
442   0   11.08   1   3.40   5
443   1   11.08   0   4.03   2
444   0   10.77   1   3.99   2
445   0   11.38   1   3.83   4
446   0   10.92   1   3.85   2
447   5   11.74   0   3.87   2
448   0   11.38   1   4.08   2
449   1   10.82   1   3.58   5
450   0   11.38   1   3.30   4
451   0   11.19   0   3.78   5
452   0   11.19   0   2.30   5
453   2   11.38   1   3.47   2
454   0   10.39   1   3.76   1
455   0   11.08   1   4.23   2
456   0   11.08   0   3.81   2
457   0   10.66   1   3.37   2
458   0    9.77   1   3.78   2
459   0    9.77   1   2.77   2
460   2   10.66   0   3.78   1
461   0   11.08   1   3.97   2
462   0   10.92   0   3.71   4
463   0   11.08   0   3.74   4
464   9   10.39   1   3.37   2
465   0   11.19   1   3.83   3
466   0   10.53   1   3.95   2
467   0   10.53   0   4.06   2
468   2   11.19   1   3.89   5
469   3   11.19   0   3.91   5
470   0   11.08   1   3.95   2
471   0   10.66   1   4.16   1
472   0   10.82   1   3.71   2
473   0   11.74   1   3.93   4
474   0   10.77   1   3.81   4
475   2   11.38   1   3.69   4
476   1   11.38   1   4.11   2
